Date,Open,High,Low,Close,GAP up/down,Range,O-C,C-C,LOD>P.Close,P.Close>High,,,
5/22/20,"2,948.05","2,956.76","2,933.59","2,955.45",-0.46,23.17,7.4,6.94,-14.92,-8.25,,,
5/26/20,"3,004.08","3,021.72","2,988.17","2,991.77",48.63,33.55,-12.31,36.32,32.72,-66.27,,,
5/27/20,"3,015.65","3,036.25","2,969.75","3,036.13",23.88,66.5,20.48,44.36,-22.02,-44.48,,,
5/28/20,"3,046.61","3,068.67","3,023.40","3,029.73",10.48,45.27,-16.88,-6.4,-12.73,-32.54,,,
5/29/20,"3,025.17","3,049.17","2,998.61","3,044.31",-4.56,50.56,19.14,14.58,-31.12,-19.44,,,
6/1/20,"3,038.78","3,062.18","3,031.54","3,055.73",-5.53,30.64,16.95,11.42,-12.77,-17.87,,,
6/2/20,"3,064.78","3,081.07","3,051.64","3,080.82",9.05,29.43,16.04,25.09,-4.09,-25.34,,,
6/3/20,"3,098.90","3,130.94","3,098.90","3,122.87",18.08,32.04,23.97,42.05,18.08,-50.12,,,
6/4/20,"3,111.56","3,128.91","3,090.41","3,112.35",-11.31,38.5,0.79,-10.52,-32.46,-6.04,,,
6/5/20,"3,163.84","3,211.72","3,163.84","3,193.93",51.49,47.88,30.09,81.58,51.49,-99.37,,,
6/8/20,"3,199.92","3,233.13","3,196.00","3,232.39",5.99,37.13,32.47,38.46,2.07,-39.2,,,
6/9/20,"3,213.32","3,222.71","3,193.11","3,207.18",-19.07,29.6,-6.14,-25.21,-39.28,9.68,,,
6/10/20,"3,213.42","3,223.27","3,181.49","3,190.14",6.24,41.78,-23.28,-17.04,-25.69,-16.09,,,
6/11/20,"3,123.53","3,123.53","2,999.49","3,002.10",-66.61,124.04,-121.43,-188.04,-190.65,66.61,,,
6/12/20,"3,071.04","3,088.42","2,984.47","3,041.31",68.94,103.95,-29.73,39.21,-17.63,-86.32,,,
6/15/20,"2,993.76","3,079.76","2,965.66","3,066.59",-47.55,114.1,72.83,25.28,-75.65,-38.45,,,
6/16/20,"3,131.00","3,153.45","3,076.06","3,124.74",64.41,77.39,-6.26,58.15,9.47,-86.86,,,
6/17/20,"3,136.13","3,141.16","3,108.03","3,113.49",11.39,33.13,-22.64,-11.25,-16.71,-16.42,,,
6/18/20,"3,101.64","3,120.00","3,093.51","3,115.34",-11.85,26.49,13.7,1.85,-19.98,-6.51,,,
